id,complex
NUOG-MONOMER,CPLX0-3361
NUOG-MONOMER,NADH-DHI-CPLX
NUOH-MONOMER,NADH-DHI-CPLX
NUOI-MONOMER,CPLX0-3361
NUOI-MONOMER,NADH-DHI-CPLX
NUOJ-MONOMER,NADH-DHI-CPLX
NUOK-MONOMER,NADH-DHI-CPLX
NUOL-MONOMER,NADH-DHI-CPLX
NUOM-MONOMER,NADH-DHI-CPLX
NUON-MONOMER,NADH-DHI-CPLX
NUPC-MONOMER,
NUPG-MONOMER,
OPPB-MONOMER,ABC-22-CPLX
OPPB-MONOMER,CPLX0-3970
OPPC-MONOMER,ABC-22-CPLX
OPPC-MONOMER,CPLX0-3970
OPPF-MONOMER,ABC-22-CPLX
OPPF-MONOMER,CPLX0-3970
PANF-MONOMER,
PD00436,
PD03831,
PGLYCEROLTRANSI-MONOMER,
PGPPHOSPHAA-MONOMER,
PGPPHOSPHAB-MONOMER,
PHEP-MONOMER,
PHOQ-MONOMER,CPLX0-8168
PHOR-MONOMER,PHOR-CPLX
PHOSPHAGLYPSYN-MONOMER,
PITA-MONOMER,
PITB-MONOMER,
PNTA-MONOMER,PYRNUTRANSHYDROGEN-CPLX
PNTB-MONOMER,PYRNUTRANSHYDROGEN-CPLX
PNUC-MONOMER,
POTA-MONOMER,ABC-24-CPLX
POTB-MONOMER,ABC-24-CPLX
POTC-MONOMER,ABC-24-CPLX
POTE-MONOMER,
POTH-MONOMER,ABC-25-CPLX
POTI-MONOMER,ABC-25-CPLX
PROP-MONOMER,CPLX0-7642
PROTEIN-CHEA,
PROTOPORGENOXI-MONOMER,CPLX0-7811
PROW-MONOMER,ABC-26-CPLX
PROY-MONOMER,
PSD-MONOMER,
PSTA-MONOMER,ABC-27-CPLX
PSTB-MONOMER,ABC-27-CPLX
PSTC-MONOMER,ABC-27-CPLX
PTSG-MONOMER,CPLX-157
PTSG-MONOMER,CPLX0-8255
PUTA-MONOMER,PUTA-CPLX
PUTP-MONOMER,
RBSC-MONOMER,ABC-28-CPLX
RCSC-MONOMER,
RFBX-MONOMER,
RHAT-MONOMER,
RHTB-MONOMER,
RPOH-MONOMER,
RSTB-MONOMER,
SAPB-MONOMER,ABC-29-CPLX
SAPC-MONOMER,ABC-29-CPLX
SBMA-MONOMER,CPLX0-8097
SDAC-MONOMER,
SDH-FLAVO,CPLX0-8160
SDH-FLAVO,SUCC-DEHASE
SDH-MEMB1,CPLX0-8160
SDH-MEMB1,SUCC-DEHASE
SDH-MEMB2,CPLX0-8160
SDH-MEMB2,SUCC-DEHASE
SECA,CPLX0-8089
SECD,SEC-SECRETION-CPLX
SECD,SECD-SECF-YAJC-YIDC-CPLX
SECE,SEC-SECRETION-CPLX
SECE,SECE-G-Y-CPLX
SECF,SEC-SECRETION-CPLX
SECF,SECD-SECF-YAJC-YIDC-CPLX
SECG,SEC-SECRETION-CPLX
SECG,SECE-G-Y-CPLX
SECY,SEC-SECRETION-CPLX
SECY,SECE-G-Y-CPLX
SFUB-MONOMER,ABC-32-CPLX
SGAT-MONOMER,EIISGA
SGCC-MONOMER,EIISGC
SHIA-MONOMER,
SUGE-MONOMER,CPLX0-8263
TAP-MONOMER,CPLX0-8104
TAR-MONOMER,CPLX0-8102
TATA,TATABCE-CPLX
TAUC-MONOMER,ABC-64-CPLX
TDCC-MONOMER,
TEHA-MONOMER,
TETRAACYLDISACC4KIN-MONOMER,
TNAB-MONOMER,
TORS-MONOMER,TORS-CPLX
TREB-MONOMER,CPLX-168
TRG-MONOMER,CPLX0-8105
TRKA-MONOMER,
TRKG-MONOMER,
TRKH-MONOMER,
TSR-MONOMER,CPLX0-8103
TYRP-MONOMER,
UGPA-MONOMER,ABC-34-CPLX
UGPE-MONOMER,ABC-34-CPLX
UHPB-MONOMER,
UHPC-MONOMER,
UHPT-MONOMER,
UIDB-MONOMER,
URAA-MONOMER,CPLX0-8247
UUP-MONOMER,
XAPB-MONOMER,
XASA-MONOMER,
XYLE-MONOMER,
XYLH-MONOMER,ABC-33-CPLX
YAAJ-MONOMER,
YAAU-MONOMER,
YADG-MONOMER,ABC-21-CPLX
YADH-MONOMER,ABC-21-CPLX
YADQ-MONOMER,CPLX0-7961
YBAL-MONOMER,
YBBL-MONOMER,
YBBP-MONOMER,ABC-61-CPLX
YBDA-MONOMER,
YBDE-MONOMER,CPLX0-1721
YBHF-MONOMER,ABC-57-CPLX
YCAD-MONOMER,
YCAM,
YCFU-MONOMER,ABC-62-CPLX
YCFV-MONOMER,ABC-62-CPLX
YCFW-MONOMER,ABC-62-CPLX
YCGO-MONOMER,
YCHM-MONOMER,
YCJN-MONOMER,ABC-55-CPLX
YCJO-MONOMER,ABC-55-CPLX
YCJP-MONOMER,ABC-55-CPLX
YDCV-MONOMER,ABC-51-CPLX
YDDA-MONOMER,
